iteration,Adam(lr=0.0001)_q25,Adam(lr=0.0001)_q50,Adam(lr=0.0001)_q75,Adam(lr=0.001)_q25,Adam(lr=0.001)_q50,Adam(lr=0.001)_q75,Adam(lr=0.01)_q25,Adam(lr=0.01)_q50,Adam(lr=0.01)_q75,Adam(lr=0.1)_q25,Adam(lr=0.1)_q50,Adam(lr=0.1)_q75,Adam(lr=1.0)_q25,Adam(lr=1.0)_q50,Adam(lr=1.0)_q75,Adam(lr=10.0)_q25,Adam(lr=10.0)_q50,Adam(lr=10.0)_q75,BFGS_q25,BFGS_q50,BFGS_q75
1,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0
2,0.9997019618749619,0.999760776758194,0.9998030811548233,0.9970224946737289,0.9976096153259277,0.9980326443910599,0.9705169498920441,0.9762510359287262,0.9804479032754898,0.735189899802208,0.7824561595916748,0.8174228519201279,0.3127932846546173,0.591701328754425,1.3746210932731628,117.28973007202148,177.1584243774414,302.1494598388672,0.30751099437475204,0.4353053718805313,0.5159151405096054
3,0.9994039535522461,0.9995216131210327,0.9996062368154526,0.9940517395734787,0.9952227175235748,0.9960680603981018,0.9417521953582764,0.9529434144496918,0.9611440598964691,0.5314942002296448,0.6039687991142273,0.6620957851409912,0.44242700934410095,0.5920191407203674,0.7756439000368118,9.83649492263794,16.6659517288208,32.392940521240234,0.09380024299025536,0.2143382951617241,0.32824476808309555
4,0.9991060346364975,0.9992824196815491,0.9994094222784042,0.9910877346992493,0.9928393661975861,0.9941063225269318,0.913610965013504,0.9301674664020538,0.9420469850301743,0.37902195006608963,0.4642931669950485,0.5341415256261826,0.2813269942998886,0.38617636263370514,0.4922333136200905,27.18527317047119,42.792863845825195,76.77577018737793,0.02705801324918866,0.08965258300304413,0.18943943455815315
5,0.9988083243370056,0.9990434050559998,0.9992128312587738,0.9881305694580078,0.990459531545639,0.9921474158763885,0.8861071318387985,0.9077542424201965,0.9234206974506378,0.2767319902777672,0.3546500951051712,0.43150200694799423,0.21924297884106636,0.3317727893590927,0.5254097282886505,59.627007484436035,93.14958190917969,162.0878028869629,0.010558375157415867,0.03670869767665863,0.08598329871892929
6,0.9985106438398361,0.9988043904304504,0.9990160465240479,0.9851803481578827,0.988083153963089,0.9901914298534393,0.8588665872812271,0.8858942687511444,0.9049153029918671,0.20276880636811256,0.27755145728588104,0.34934018552303314,0.18807515501976013,0.2943414896726608,0.5725073367357254,40.88474750518799,67.14167022705078,112.49191093444824,0.0035640583373606205,0.015522636473178864,0.040737601928412914
7,0.9982127994298935,0.9985653758049011,0.9988193064928055,0.9822372198104858,0.985710620880127,0.9882384389638901,0.8322519659996033,0.8644499480724335,0.8866926729679108,0.15254339203238487,0.21840817481279373,0.28563229739665985,0.1895064115524292,0.2779510021209717,0.3792717456817627,12.056224346160889,21.28888511657715,39.16107940673828,0.0013935324677731842,0.008580601308494806,0.020470531191676855
8,0.9979151487350464,0.9983263909816742,0.9986225515604019,0.979301244020462,0.9833416640758514,0.9862883538007736,0.8068122267723083,0.8431374430656433,0.8692474663257599,0.12232509441673756,0.17719469219446182,0.23550914600491524,0.14542653784155846,0.21448199450969696,0.29940519481897354,1.2942211031913757,1.6807678937911987,11.912119150161743,0.0007707651529926807,0.00448083714582026,0.01150023564696312
9,0.9976176917552948,0.998087465763092,0.9984258562326431,0.9763726443052292,0.9809770584106445,0.9843413084745407,0.782186359167099,0.8224077224731445,0.8515976965427399,0.10200007073581219,0.14815959334373474,0.20124320313334465,0.13456350564956665,0.1944274753332138,0.29445603489875793,18.471059799194336,27.729640007019043,48.243096351623535,0.0003908110084012151,0.0026171565987169743,0.007040883298031986
10,0.9973202645778656,0.997848629951477,0.9982293844223022,0.9734513908624649,0.9786179661750793,0.9823973774909973,0.7583314627408981,0.8021070063114166,0.8342860341072083,0.09306124411523342,0.12664999067783356,0.17253319546580315,0.11878690496087074,0.1842012032866478,0.3169761300086975,27.832799434661865,45.137916564941406,76.51399421691895,0.0001671678364800755,0.0015090228989720345,0.004383106250315905
11,0.9970227181911469,0.9976097643375397,0.9980327636003494,0.9705374836921692,0.976263165473938,0.9804564863443375,0.7353875488042831,0.7825601100921631,0.8174426257610321,0.08362732455134392,0.1145184226334095,0.15086345747113228,0.11103752814233303,0.1658424511551857,0.2584044635295868,22.64523410797119,36.93454170227051,65.46686363220215,6.975882206461392e-05,0.0009232040029019117,0.002823727496434003
12,0.9967254400253296,0.9973708987236023,0.9978361874818802,0.9676311761140823,0.9739127159118652,0.9785184562206268,0.7132321149110794,0.7632154524326324,0.8009091466665268,0.07421381957828999,0.10537466034293175,0.13696489483118057,0.0861752163618803,0.13825321197509766,0.19150026887655258,10.482835292816162,18.097854614257812,33.80013084411621,3.394356645003427e-05,0.0005909895990043879,0.0019562329980544746
13,0.9964282959699631,0.9971321225166321,0.9976396560668945,0.9647359251976013,0.9715668559074402,0.976582258939743,0.6915511786937714,0.7441485524177551,0.7846817970275879,0.06875595264136791,0.0989118255674839,0.12642214819788933,0.07821869105100632,0.12241585925221443,0.1705995686352253,0.4530310407280922,2.5064334869384766,9.907990217208862,1.2947927871209686e-05,0.0004000229964731261,0.0012697534111794084
14,0.9961310178041458,0.9968934059143066,0.9974431842565536,0.9618501216173172,0.9692254662513733,0.9746488332748413,0.6699629426002502,0.725340873003006,0.7685558795928955,0.06328477337956429,0.08984313532710075,0.11668502539396286,0.07895538210868835,0.11651390045881271,0.17370318993926048,5.348999619483948,7.472487449645996,13.186761379241943,3.504107723983907e-06,0.0002943498402601108,0.000911115130293183
15,0.9958339333534241,0.9966548085212708,0.9972467720508575,0.9589729160070419,0.9668886661529541,0.9727185666561127,0.6480393409729004,0.7084226608276367,0.7523826509714127,0.058680539950728416,0.0837489701807499,0.10761374235153198,0.07189545780420303,0.1085289940237999,0.17871342599391937,12.087767124176025,19.628530502319336,32.79548168182373,9.506469496045611e-07,0.00017787223623599857,0.0007046040409477428
16,0.9955369085073471,0.9964161217212677,0.9970502853393555,0.956104502081871,0.9645655453205109,0.9707913249731064,0.6268830746412277,0.6905860900878906,0.7369868904352188,0.05409552063792944,0.07525560259819031,0.10018589720129967,0.06533217430114746,0.09814862161874771,0.14206063747406006,13.619843006134033,23.08012580871582,40.14576435089111,1.9364144421274432e-07,0.00013703114382224157,0.0005229575763223693
17,0.9952400773763657,0.996177464723587,0.9968539029359818,0.9532447010278702,0.9622483551502228,0.9688668102025986,0.6068464517593384,0.6736846268177032,0.722090095281601,0.04934696853160858,0.06983735412359238,0.09053695201873779,0.0541645297780633,0.0817997083067894,0.11163712106645107,9.65450644493103,16.75429344177246,30.55028772354126,1.7476693425777512e-08,8.419266669079661e-05,0.00039835630013840273
18,0.9949431717395782,0.9959389567375183,0.9966575354337692,0.9503937363624573,0.959937334060669,0.9669433981180191,0.5876110047101974,0.6565064787864685,0.7070772796869278,0.046654095873236656,0.06495637446641922,0.08427828922867775,0.0478136045858264,0.07355563715100288,0.10538293048739433,3.3495219349861145,7.264149188995361,15.148605346679688,3.0008017598559533e-10,5.32763860974228e-05,0.00028733523504342884
19,0.9946464747190475,0.9957004487514496,0.9964611679315567,0.9475515633821487,0.9576322138309479,0.9650228172540665,0.569015696644783,0.6397085785865784,0.6923102587461472,0.04296157509088516,0.059572961181402206,0.07608683407306671,0.044637949205935,0.06930983811616898,0.1071191057562828,0.30153802782297134,0.7887799739837646,5.790345072746277,9.914151747822397e-12,3.5961678804596886e-05,0.00021766034842585213
20,0.9943496882915497,0.9954619109630585,0.9962649494409561,0.9447109699249268,0.9553333222866058,0.9631050080060959,0.550528883934021,0.6234316229820251,0.6780641824007034,0.03735040221363306,0.0548138115555048,0.06895216926932335,0.04037913307547569,0.062223466113209724,0.10274377837777138,4.634118318557739,6.370198488235474,9.9238862991333,1.3505410948377785e-14,2.410041997791268e-05,0.00016650210091029294
21,0.9940531551837921,0.9952234625816345,0.9960686266422272,0.9418767243623734,0.953040599822998,0.9611901342868805,0.5332679897546768,0.6077274084091187,0.6636887341737747,0.03406619932502508,0.05024379678070545,0.06360922753810883,0.03403773158788681,0.05499548278748989,0.07736499048769474,6.957244396209717,11.928906917572021,18.827256679534912,1.5816094908201284e-17,1.658479231991805e-05,0.00012508214422268793
22,0.9937567114830017,0.9949850142002106,0.9958724677562714,0.9390503913164139,0.9507540166378021,0.9592781066894531,0.5176301747560501,0.5920905768871307,0.64961177110672,0.02972571086138487,0.045244984328746796,0.0576222101226449,0.031600186601281166,0.04771829769015312,0.06663647294044495,6.594724655151367,12.07697582244873,21.443374156951904,1.3848955790214797e-21,8.973843250714708e-06,9.228119779436383e-05
23,0.9934601783752441,0.994746744632721,0.9956763237714767,0.9362320899963379,0.9484736025333405,0.9573690295219421,0.5023713260889053,0.5769213736057281,0.635815903544426,0.026839555706828833,0.04058309458196163,0.052608732134103775,0.030064241494983435,0.046185651794075966,0.06532951444387436,4.177599787712097,7.771292448043823,15.087611436843872,9.281405380508013e-26,5.834177954966435e-06,7.01310382282827e-05
24,0.9931639432907104,0.9945083558559418,0.9954801499843597,0.9334218353033066,0.9461995959281921,0.9554612189531326,0.4858633503317833,0.5624897181987762,0.6226650774478912,0.02576744882389903,0.03681201487779617,0.048660265281796455,0.028171510435640812,0.04288825951516628,0.06556131690740585,0.7884963303804398,2.968584179878235,7.1423020362854,6.873530371743981e-29,2.375002168264473e-06,5.278261050989386e-05
25,0.9928675889968872,0.9942701756954193,0.9952839463949203,0.9306196421384811,0.9439318180084229,0.9535551220178604,0.4709833711385727,0.5481881201267242,0.610196903347969,0.024338779971003532,0.03391825221478939,0.04372951854020357,0.02550380490720272,0.038652846589684486,0.05749973189085722,0.6016088575124741,1.0482527017593384,3.360136330127716,3.34399166873193e-32,9.517387979940395e-07,4.386238924780628e-05
26,0.9925714135169983,0.9940319359302521,0.9950879663228989,0.9278258234262466,0.941670298576355,0.9516518265008926,0.4557209461927414,0.534042626619339,0.5967658162117004,0.022294091526418924,0.031306734308600426,0.03966045565903187,0.021644928958266973,0.031659042462706566,0.04798031784594059,3.4795097708702087,4.885746240615845,7.504333853721619,1.4846651837527623e-33,5.381749303978722e-07,3.723532881849678e-05
27,0.9922754317522049,0.9937937557697296,0.9948918521404266,0.9250401258468628,0.9394151568412781,0.9497511088848114,0.44225870072841644,0.520864725112915,0.5839452743530273,0.020871836692094803,0.028974206186830997,0.03609454911202192,0.02012819889932871,0.029389578849077225,0.04051988013088703,3.95227187871933,7.073538064956665,11.68822193145752,1.1413343874121772e-34,2.0799498656742799e-07,2.9678088594664587e-05
28,0.9919793456792831,0.9935556054115295,0.9946958869695663,0.9222624599933624,0.9371665120124817,0.947853296995163,0.42823392152786255,0.5079925954341888,0.5714623183012009,0.019333194475620985,0.02628454566001892,0.03357830364257097,0.017272960394620895,0.027894536033272743,0.03908092901110649,3.2866249084472656,5.842400550842285,10.929206609725952,9.542613312044016e-36,3.7641896710738365e-08,2.2637006168224616e-05
29,0.9916833639144897,0.993317574262619,0.9944998919963837,0.9194931238889694,0.9349241554737091,0.9459581822156906,0.4141562581062317,0.4950110763311386,0.5600690841674805,0.016907380428165197,0.024350757710635662,0.031109478790313005,0.01643764739856124,0.025289754383265972,0.03865301515907049,1.5359022915363312,3.3246171474456787,6.63989794254303,0.0,6.796150087140518e-09,1.7951246263692155e-05
30,0.991387814283371,0.9930794835090637,0.9943040013313293,0.9167322218418121,0.9326882660388947,0.9440790116786957,0.4014410600066185,0.4818824380636215,0.5488624721765518,0.015930843073874712,0.022526283748447895,0.02843940956518054,0.015233562560752034,0.022437761537730694,0.03233915288001299,0.21326088160276413,0.8252054750919342,2.9149174094200134,0.0,3.620028166118061e-10,1.2279705742912483e-05
31,0.9910919815301895,0.992841511964798,0.994108036160469,0.9139793217182159,0.930458664894104,0.9422158747911453,0.38842616230249405,0.4707726240158081,0.5377182364463806,0.014778554905205965,0.020829765126109123,0.026389350648969412,0.012391028925776482,0.019076121971011162,0.02894383342936635,1.145002692937851,1.460617184638977,1.9388538002967834,0.0,7.983569100949994e-12,8.538526572010596e-06
32,0.9907962083816528,0.9926035404205322,0.9939122200012207,0.9112347215414047,0.9282253384590149,0.940343588590622,0.37563375383615494,0.4583341032266617,0.5265062153339386,0.013575137360021472,0.01890187617391348,0.024138446897268295,0.01175861549563706,0.018200034275650978,0.027022038120776415,2.252193868160248,3.7015349864959717,5.573843836784363,0.0,3.0977537158680124e-13,5.860690976078331e-06
33,0.99050073325634,0.992365688085556,0.9937164634466171,0.9084985107183456,0.9259844720363617,0.9384745210409164,0.36433085799217224,0.4471118301153183,0.5155785530805588,0.012320715468376875,0.017330342903733253,0.022153686732053757,0.011347473133355379,0.01696630474179983,0.02646056143566966,2.0279711484909058,3.9394047260284424,6.860996603965759,0.0,2.1086522585915264e-16,3.7646356076947995e-06
34,0.9902051538228989,0.9921278953552246,0.9935206472873688,0.905770406126976,0.9237484931945801,0.9366338402032852,0.35225818306207657,0.4371699094772339,0.5052224546670914,0.011242717271670699,0.015605671796947718,0.020029316190630198,0.011052282061427832,0.01596857700496912,0.022751231212168932,1.3362520039081573,2.658804178237915,5.283513069152832,0.0,2.9368449235220854e-19,2.61733151774024e-06
35,0.9899099171161652,0.9918900728225708,0.9933249205350876,0.9030507206916809,0.9215175211429596,0.9347995668649673,0.3404565006494522,0.42687922716140747,0.4954241216182709,0.01005002437159419,0.014026035089045763,0.018037074245512486,0.009338483447209,0.013823278713971376,0.01963649457320571,0.3047294393181801,1.259853184223175,2.83884197473526,0.0,3.8497024330847828e-22,1.6514669312073238e-06
36,0.9896146357059479,0.9916523098945618,0.9931291937828064,0.9003392606973648,0.9192914664745331,0.9329706877470016,0.33052245527505875,0.4156040996313095,0.48600292205810547,0.0092628407292068,0.012815564405173063,0.016727436799556017,0.008176535600796342,0.012259617447853088,0.01766947377473116,0.24542123824357986,0.5319438278675079,1.352108508348465,0.0,1.847744707475617e-24,9.067866244549805e-07
37,0.9893195033073425,0.9914146363735199,0.9929334968328476,0.8976198732852936,0.9170704483985901,0.9311394244432449,0.32164542376995087,0.404855340719223,0.4764499142765999,0.008290234487503767,0.011629147455096245,0.01564934803172946,0.0073476232355460525,0.011157687287777662,0.01660004397854209,1.250929832458496,1.826915681362152,2.528703987598419,0.0,2.685986641359992e-27,4.2106321984647366e-07
38,0.9890244156122208,0.9911767840385437,0.9927378594875336,0.894889160990715,0.914854496717453,0.9293012022972107,0.31085677444934845,0.3943808823823929,0.46707748621702194,0.007341806776821613,0.01061947550624609,0.014409596333280206,0.0070972159737721086,0.010539045091718435,0.01584496535360813,1.2034774422645569,2.331143856048584,4.020315647125244,0.0,4.681565931302376e-30,2.547515265405309e-07
39,0.9887294173240662,0.990939199924469,0.9925423562526703,0.8921648859977722,0.912643313407898,0.9274482578039169,0.30041418224573135,0.38461068272590637,0.45807380974292755,0.006821656017564237,0.009520329535007477,0.013300366699695587,0.006071100942790508,0.009515784680843353,0.013598067918792367,0.9231017529964447,1.7374841570854187,3.465094029903412,0.0,2.64235885372488e-32,1.012532919730802e-07
40,0.9884344637393951,0.9907017946243286,0.992346778512001,0.8894471079111099,0.9104527533054352,0.9255953282117844,0.2903085798025131,0.37512844800949097,0.4492727965116501,0.006289810058660805,0.00881533045321703,0.012051755096763372,0.005805440247058868,0.008386753033846617,0.012102992972359061,0.3162478283047676,0.9327714443206787,1.9995824098587036,0.0,2.131193849572862e-33,3.715949770111138e-08
41,0.9881397187709808,0.9904641807079315,0.9921512603759766,0.8867358267307281,0.9082877039909363,0.9237455874681473,0.28114330768585205,0.36591407656669617,0.44068094342947006,0.005669877980835736,0.008173606358468533,0.011081278091296554,0.005086577613838017,0.007875600829720497,0.011169163044542074,0.1228270921856165,0.33904969692230225,0.9712656438350677,0.0,1.0887885558909413e-33,1.2549760119995312e-08
42,0.9878448098897934,0.9902267456054688,0.9919558018445969,0.8840310573577881,0.906129390001297,0.9218988418579102,0.27241091430187225,0.35712607204914093,0.4321943148970604,0.005146725685335696,0.007523524574935436,0.010149713139981031,0.0044196328381076455,0.0068282196298241615,0.010351711884140968,0.6243957579135895,0.8485827744007111,1.1286106705665588,0.0,1.7602430398866878e-34,1.1546926192984586e-09
43,0.9875501841306686,0.9899893403053284,0.9917602986097336,0.8813329637050629,0.9039776921272278,0.9200507700443268,0.2639772593975067,0.348245233297348,0.4237108752131462,0.004754073801450431,0.006669264053925872,0.009638876654207706,0.004054875345900655,0.0060773862060159445,0.008866319665685296,0.7654350399971008,1.409882664680481,2.191167712211609,0.0,2.366550872186879e-35,4.634039072609619e-11
44,0.987255796790123,0.9897518754005432,0.9915649443864822,0.8786410689353943,0.9018328189849854,0.9182052910327911,0.25539033114910126,0.34003792703151703,0.415327712893486,0.004233632818795741,0.00625388347543776,0.008959262166172266,0.0035895355977118015,0.005688430275768042,0.008042969275265932,0.592371940612793,1.1028494238853455,2.20516574382782,0.0,5.306416935690433e-36,4.506252210029378e-13
45,0.9869611263275146,0.9895146191120148,0.9913695305585861,0.8759559839963913,0.8996947705745697,0.9163626879453659,0.24769261106848717,0.33208656311035156,0.40695494413375854,0.0038604263099841774,0.005811561597511172,0.008437029551714659,0.0034933348651975393,0.005371460225433111,0.007751541561447084,0.22695675492286682,0.6196035146713257,1.376870036125183,0.0,8.457655711542208e-37,1.8305543484094353e-15
46,0.9866669476032257,0.9892773628234863,0.9911743551492691,0.8732772171497345,0.8975633382797241,0.9145251512527466,0.24041973426938057,0.3232767879962921,0.3986266106367111,0.0034465891658328474,0.005296362796798348,0.007934762863442302,0.0031337295658886433,0.004982110345736146,0.007158155902288854,0.07888373360037804,0.23303545266389847,0.60772904753685,0.0,0.0,4.3573773630537613e-17
47,0.986372783780098,0.989040195941925,0.9909790307283401,0.8706050664186478,0.8954385817050934,0.9127135574817657,0.23290802165865898,0.3158390671014786,0.3912608474493027,0.0032898891367949545,0.00494860066100955,0.007225170498713851,0.0027780941454693675,0.004175640642642975,0.006028593517839909,0.298917792737484,0.45484215021133423,0.6296011209487915,0.0,0.0,3.280547515325818e-19
48,0.9860784709453583,0.9888027906417847,0.9907837361097336,0.8679395020008087,0.893320620059967,0.9109009951353073,0.22581443563103676,0.3076218366622925,0.3837607279419899,0.003045826859306544,0.004633668577298522,0.0068933876464143395,0.002449567837174982,0.00364028406329453,0.005377548863179982,0.45491231232881546,0.8525540828704834,1.2919962108135223,0.0,0.0,2.0032272232922894e-21
49,0.9857844561338425,0.9885657727718353,0.990588515996933,0.8652803599834442,0.8911797404289246,0.9090847223997116,0.21898102015256882,0.30028651654720306,0.37669719755649567,0.002700924756936729,0.004242071881890297,0.006513081258162856,0.0023427046835422516,0.003451968193985522,0.00510126119479537,0.34887224435806274,0.6561094522476196,1.2852689623832703,0.0,0.0,3.0221103506835918e-24
