iteration,Adam(lr=0.0001)_q25,Adam(lr=0.0001)_q50,Adam(lr=0.0001)_q75,Adam(lr=0.001)_q25,Adam(lr=0.001)_q50,Adam(lr=0.001)_q75,Adam(lr=0.01)_q25,Adam(lr=0.01)_q50,Adam(lr=0.01)_q75,Adam(lr=0.1)_q25,Adam(lr=0.1)_q50,Adam(lr=0.1)_q75,Adam(lr=1.0)_q25,Adam(lr=1.0)_q50,Adam(lr=1.0)_q75,Adam(lr=10.0)_q25,Adam(lr=10.0)_q50,Adam(lr=10.0)_q75,BFGS_q25,BFGS_q50,BFGS_q75
1,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0
2,0.9997020214796066,0.9997629225254059,0.9998054504394531,0.9970238208770752,0.99763023853302,0.998055025935173,0.9705478399991989,0.9765044152736664,0.9806689471006393,0.734154611825943,0.7835777103900909,0.8203742951154709,0.3481008931994438,0.6851590871810913,1.329777866601944,116.60730361938477,180.83916473388672,292.2345504760742,0.3148055449128151,0.4304530620574951,0.5115536004304886
3,0.9994042217731476,0.999525785446167,0.9996107965707779,0.9940541684627533,0.9952641725540161,0.9961125701665878,0.9416497945785522,0.9534863531589508,0.9616993516683578,0.5331247895956039,0.6078259646892548,0.66647769510746,0.4210624620318413,0.5984118580818176,0.7728769034147263,9.87546968460083,17.284605026245117,31.946786403656006,0.09676246717572212,0.2183951959013939,0.3267499580979347
4,0.9991065114736557,0.9992887079715729,0.9994162023067474,0.9910909831523895,0.9929019808769226,0.9941725134849548,0.9132678210735321,0.93080273270607,0.9429776072502136,0.3818337842822075,0.4680287837982178,0.5407536178827286,0.2851259484887123,0.39727073907852173,0.5232878923416138,27.707000255584717,44.40855407714844,73.40055465698242,0.03235932905226946,0.09909761697053909,0.18319496512413025
5,0.9988089352846146,0.9990517497062683,0.9992217272520065,0.988134428858757,0.9905438423156738,0.9922352582216263,0.8860219717025757,0.9085453450679779,0.9244459122419357,0.2776268273591995,0.3571954369544983,0.4345899000763893,0.23945680633187294,0.33788397908210754,0.5367749035358429,61.35085678100586,95.14911651611328,156.33831024169922,0.01170095126144588,0.044734954833984375,0.09184065833687782
6,0.9985112100839615,0.9988147616386414,0.999027207493782,0.9851844012737274,0.9881897270679474,0.9903014004230499,0.8592974841594696,0.8867236375808716,0.9061793237924576,0.20378466695547104,0.27722547948360443,0.3496640995144844,0.2019476667046547,0.33274099230766296,0.5426799654960632,42.72775840759277,67.55726623535156,113.78717613220215,0.003998405998572707,0.021629348397254944,0.0469294935464859
7,0.9982136487960815,0.9985778033733368,0.9988327324390411,0.9822413325309753,0.9858576953411102,0.9883704632520676,0.83290995657444,0.8651309907436371,0.888262078166008,0.15888701006770134,0.21929552406072617,0.2855474054813385,0.18912320956587791,0.2749335616827011,0.3871105760335922,12.542466402053833,21.907800674438477,39.349905014038086,0.0018363030103500932,0.010201279073953629,0.024861307349056005
8,0.9979161024093628,0.9983408451080322,0.9986382722854614,0.9793051779270172,0.9835151135921478,0.9864424169063568,0.8071888238191605,0.8439635932445526,0.870597168803215,0.12562735378742218,0.17946897447109222,0.2388230636715889,0.15205315500497818,0.2177196592092514,0.2954941540956497,1.3191621005535126,1.6444883942604065,13.728975296020508,0.0007546525303041562,0.005579672520980239,0.014150787610560656
9,0.9976186454296112,0.9981040060520172,0.9984437823295593,0.976376086473465,0.981176882982254,0.9845172315835953,0.7819695770740509,0.8233674764633179,0.8534280955791473,0.10360442847013474,0.1503412202000618,0.20585884153842926,0.13433823361992836,0.2044702023267746,0.3027781769633293,18.252375602722168,28.44460678100586,45.86134147644043,0.0003508781883283518,0.003155117738060653,0.008527781814336777
10,0.9973213821649551,0.9978671371936798,0.9982494860887527,0.9734538942575455,0.9788438677787781,0.9825951755046844,0.7575892508029938,0.8031949698925018,0.836453914642334,0.09156715869903564,0.13208533823490143,0.1795867569744587,0.12191126309335232,0.18374980986118317,0.3062090799212456,27.256415367126465,44.801923751831055,75.84073066711426,0.00016961571600404568,0.0018805185100063682,0.005413311417214572
