Epoch, train Loss, test loss
1, 1.2655, 1.2262
20, 0.3111, 0.0580
40, 0.0551, 0.0384
60, 0.0243, 0.0250
80, 0.0170, 0.0247
100, 0.0138, 0.0182
120, 0.0106, 0.0191
140, 0.0096, 0.0161
160, 0.0096, 0.0178
180, 0.0084, 0.0140
200, 0.0102, 0.0227
220, 0.0098, 0.0213
240, 0.0099, 0.0123
260, 0.0098, 0.0145
280, 0.0086, 0.0139
300, 0.0086, 0.0131
320, 0.0079, 0.0117
340, 0.0078, 0.0114
360, 0.0079, 0.0120
380, 0.0077, 0.0137
400, 0.0090, 0.0148
420, 0.0081, 0.0131
440, 0.0075, 0.0147
460, 0.0080, 0.0152
480, 0.0082, 0.0149
500, 0.0075, 0.0114
520, 0.0074, 0.0131
540, 0.0082, 0.0145
560, 0.0072, 0.0115
580, 0.0081, 0.0110
600, 0.0069, 0.0120
620, 0.0079, 0.0139
640, 0.0091, 0.0116
660, 0.0064, 0.0102
680, 0.0079, 0.0120
700, 0.0072, 0.0131
720, 0.0065, 0.0106
740, 0.0062, 0.0108
760, 0.0070, 0.0120
780, 0.0074, 0.0123
800, 0.0062, 0.0108
820, 0.0072, 0.0115
840, 0.0102, 0.0106
860, 0.0078, 0.0107
880, 0.0075, 0.0099
900, 0.0075, 0.0099
920, 0.0085, 0.0118
940, 0.0073, 0.0119
960, 0.0064, 0.0121
980, 0.0083, 0.0117
1000, 0.0070, 0.0114
1020, 0.0069, 0.0126
1040, 0.0073, 0.0109
1060, 0.0078, 0.0109
1080, 0.0069, 0.0129
1100, 0.0067, 0.0103
1120, 0.0074, 0.0113
1140, 0.0074, 0.0111
1160, 0.0077, 0.0115
1180, 0.0065, 0.0113
1200, 0.0080, 0.0110
1220, 0.0086, 0.0139
1240, 0.0093, 0.0166
1260, 0.0080, 0.0116
1280, 0.0073, 0.0110
1300, 0.0073, 0.0107
1320, 0.0068, 0.0107
1340, 0.0079, 0.0115
1360, 0.0063, 0.0105
1380, 0.0062, 0.0104
1400, 0.0070, 0.0108
1420, 0.0075, 0.0111
1440, 0.0075, 0.0109
1460, 0.0076, 0.0108
1480, 0.0069, 0.0132
1500, 0.0075, 0.0110
1520, 0.0068, 0.0113
1540, 0.0060, 0.0115
1560, 0.0056, 0.0105
1580, 0.0071, 0.0107
1600, 0.0067, 0.0114
1620, 0.0062, 0.0107
1640, 0.0056, 0.0105
1660, 0.0054, 0.0103
1680, 0.0086, 0.0101
1700, 0.0073, 0.0112
1720, 0.0076, 0.0106
1740, 0.0077, 0.0102
1760, 0.0072, 0.0096
1780, 0.0069, 0.0110
1800, 0.0053, 0.0105
1820, 0.0070, 0.0102
1840, 0.0059, 0.0104
1860, 0.0059, 0.0100
1880, 0.0070, 0.0122
1900, 0.0068, 0.0105
1920, 0.0059, 0.0111
1940, 0.0063, 0.0105
1960, 0.0063, 0.0111
1980, 0.0074, 0.0105
2000, 0.0072, 0.0105
