Epoch, train Loss, test loss
1, 1.2846, 1.6512
20, 0.3659, 0.5118
40, 0.0998, 0.3330
60, 0.0719, 0.2620
80, 0.0543, 0.1832
100, 0.0419, 0.1296
120, 0.0282, 0.0846
140, 0.0216, 0.0544
160, 0.0199, 0.0348
180, 0.0195, 0.0253
200, 0.0161, 0.0209
220, 0.0162, 0.0178
240, 0.0144, 0.0161
260, 0.0151, 0.0151
280, 0.0141, 0.0140
300, 0.0140, 0.0134
320, 0.0134, 0.0130
340, 0.0133, 0.0126
360, 0.0133, 0.0119
380, 0.0146, 0.0114
400, 0.0124, 0.0110
420, 0.0116, 0.0108
440, 0.0117, 0.0108
460, 0.0130, 0.0109
480, 0.0122, 0.0104
500, 0.0128, 0.0100
520, 0.0121, 0.0102
540, 0.0115, 0.0101
560, 0.0115, 0.0098
580, 0.0123, 0.0096
600, 0.0113, 0.0095
620, 0.0123, 0.0095
640, 0.0115, 0.0093
660, 0.0111, 0.0092
680, 0.0109, 0.0091
700, 0.0108, 0.0093
720, 0.0113, 0.0089
740, 0.0104, 0.0089
760, 0.0107, 0.0088
780, 0.0123, 0.0089
800, 0.0108, 0.0088
820, 0.0105, 0.0092
840, 0.0114, 0.0089
860, 0.0111, 0.0089
880, 0.0112, 0.0087
900, 0.0112, 0.0086
920, 0.0094, 0.0086
940, 0.0107, 0.0086
960, 0.0103, 0.0086
980, 0.0109, 0.0086
1000, 0.0112, 0.0090
1020, 0.0098, 0.0086
1040, 0.0101, 0.0085
1060, 0.0124, 0.0087
1080, 0.0102, 0.0085
1100, 0.0108, 0.0084
1120, 0.0110, 0.0086
1140, 0.0111, 0.0084
1160, 0.0101, 0.0083
1180, 0.0111, 0.0087
1200, 0.0099, 0.0088
1220, 0.0102, 0.0082
1240, 0.0103, 0.0084
1260, 0.0099, 0.0085
1280, 0.0109, 0.0084
1300, 0.0099, 0.0082
1320, 0.0104, 0.0081
1340, 0.0107, 0.0084
1360, 0.0094, 0.0083
1380, 0.0105, 0.0082
1400, 0.0105, 0.0081
1420, 0.0099, 0.0080
1440, 0.0101, 0.0085
1460, 0.0097, 0.0081
1480, 0.0107, 0.0081
1500, 0.0103, 0.0083
1520, 0.0100, 0.0081
1540, 0.0113, 0.0080
1560, 0.0102, 0.0081
1580, 0.0108, 0.0081
1600, 0.0107, 0.0082
1620, 0.0100, 0.0081
1640, 0.0098, 0.0081
1660, 0.0104, 0.0085
1680, 0.0103, 0.0080
1700, 0.0096, 0.0081
1720, 0.0106, 0.0088
1740, 0.0098, 0.0080
1760, 0.0104, 0.0078
1780, 0.0098, 0.0083
1800, 0.0091, 0.0078
1820, 0.0110, 0.0087
1840, 0.0105, 0.0080
1860, 0.0103, 0.0090
1880, 0.0099, 0.0084
1900, 0.0106, 0.0081
1920, 0.0094, 0.0078
1940, 0.0092, 0.0087
1960, 0.0114, 0.0080
1980, 0.0100, 0.0078
2000, 0.0096, 0.0077
