Epoch, train Loss, test loss
1, 0.8755, 1.1283
20, 0.3412, 0.1017
40, 0.0905, 0.0716
60, 0.0816, 0.0594
80, 0.0666, 0.0476
100, 0.0581, 0.0373
120, 0.0628, 0.0335
140, 0.0558, 0.0324
160, 0.0497, 0.0319
180, 0.0532, 0.0317
200, 0.0519, 0.0319
220, 0.0537, 0.0331
240, 0.0514, 0.0325
260, 0.0450, 0.0295
280, 0.0463, 0.0307
300, 0.0608, 0.0354
320, 0.0499, 0.0320
340, 0.0560, 0.0324
360, 0.0481, 0.0305
380, 0.0576, 0.0331
400, 0.0553, 0.0324
420, 0.0530, 0.0321
440, 0.0517, 0.0352
460, 0.0501, 0.0306
480, 0.0518, 0.0327
500, 0.0525, 0.0339
520, 0.0444, 0.0308
540, 0.0548, 0.0325
560, 0.0552, 0.0349
