Epoch, train Loss, test loss
1, 1.0243, 1.2767
20, 0.3991, 0.1493
40, 0.1003, 0.0386
60, 0.0477, 0.0324
80, 0.0338, 0.0247
100, 0.0241, 0.0202
120, 0.0192, 0.0181
140, 0.0159, 0.0169
160, 0.0153, 0.0164
180, 0.0138, 0.0156
200, 0.0149, 0.0144
220, 0.0152, 0.0132
240, 0.0136, 0.0125
260, 0.0125, 0.0117
280, 0.0133, 0.0114
300, 0.0129, 0.0105
320, 0.0132, 0.0102
340, 0.0102, 0.0096
360, 0.0110, 0.0096
380, 0.0109, 0.0091
400, 0.0123, 0.0088
420, 0.0101, 0.0092
440, 0.0103, 0.0092
460, 0.0102, 0.0090
480, 0.0094, 0.0088
500, 0.0101, 0.0090
520, 0.0100, 0.0091
540, 0.0096, 0.0084
560, 0.0104, 0.0084
580, 0.0099, 0.0086
600, 0.0085, 0.0079
620, 0.0103, 0.0079
640, 0.0117, 0.0082
660, 0.0078, 0.0077
680, 0.0098, 0.0082
700, 0.0093, 0.0077
720, 0.0087, 0.0075
740, 0.0084, 0.0078
760, 0.0088, 0.0077
780, 0.0105, 0.0084
800, 0.0086, 0.0082
820, 0.0105, 0.0081
840, 0.0117, 0.0080
860, 0.0093, 0.0087
880, 0.0092, 0.0077
900, 0.0094, 0.0078
920, 0.0109, 0.0084
940, 0.0095, 0.0081
960, 0.0086, 0.0076
980, 0.0116, 0.0079
1000, 0.0096, 0.0078
1020, 0.0095, 0.0080
1040, 0.0103, 0.0075
1060, 0.0107, 0.0082
1080, 0.0093, 0.0078
1100, 0.0089, 0.0074
1120, 0.0103, 0.0082
1140, 0.0104, 0.0096
1160, 0.0107, 0.0076
1180, 0.0087, 0.0075
1200, 0.0115, 0.0076
1220, 0.0096, 0.0075
1240, 0.0078, 0.0073
1260, 0.0095, 0.0075
1280, 0.0098, 0.0081
1300, 0.0096, 0.0074
1320, 0.0099, 0.0077
1340, 0.0109, 0.0086
1360, 0.0085, 0.0079
1380, 0.0077, 0.0076
1400, 0.0095, 0.0076
1420, 0.0097, 0.0073
1440, 0.0094, 0.0073
1460, 0.0103, 0.0074
1480, 0.0094, 0.0073
1500, 0.0088, 0.0074
1520, 0.0098, 0.0075
1540, 0.0086, 0.0073
1560, 0.0072, 0.0073
1580, 0.0099, 0.0084
1600, 0.0100, 0.0077
1620, 0.0085, 0.0080
1640, 0.0079, 0.0077
1660, 0.0075, 0.0075
1680, 0.0126, 0.0075
1700, 0.0103, 0.0075
1720, 0.0110, 0.0076
1740, 0.0112, 0.0083
1760, 0.0109, 0.0076
1780, 0.0101, 0.0075
1800, 0.0073, 0.0074
1820, 0.0099, 0.0079
1840, 0.0092, 0.0076
1860, 0.0088, 0.0078
1880, 0.0107, 0.0077
1900, 0.0096, 0.0073
1920, 0.0092, 0.0076
1940, 0.0098, 0.0074
1960, 0.0106, 0.0077
1980, 0.0111, 0.0083
2000, 0.0108, 0.0073
