Epoch, train Loss, test loss
1, 0.4225, 0.3782
20, 0.1465, 0.0678
40, 0.0398, 0.0390
60, 0.0162, 0.0326
80, 0.0120, 0.0298
100, 0.0102, 0.0273
120, 0.0094, 0.0248
140, 0.0094, 0.0244
160, 0.0086, 0.0243
180, 0.0085, 0.0232
200, 0.0082, 0.0218
220, 0.0079, 0.0211
240, 0.0078, 0.0207
260, 0.0075, 0.0218
280, 0.0072, 0.0211
300, 0.0073, 0.0221
320, 0.0085, 0.0214
340, 0.0069, 0.0201
360, 0.0069, 0.0197
380, 0.0068, 0.0192
400, 0.0070, 0.0197
420, 0.0081, 0.0220
440, 0.0078, 0.0192
460, 0.0078, 0.0204
480, 0.0068, 0.0185
500, 0.0078, 0.0186
520, 0.0070, 0.0194
540, 0.0073, 0.0185
560, 0.0066, 0.0183
580, 0.0078, 0.0192
600, 0.0075, 0.0197
620, 0.0068, 0.0177
640, 0.0074, 0.0178
660, 0.0069, 0.0179
680, 0.0069, 0.0173
700, 0.0064, 0.0182
720, 0.0067, 0.0179
740, 0.0071, 0.0188
760, 0.0073, 0.0180
780, 0.0061, 0.0180
800, 0.0068, 0.0184
820, 0.0059, 0.0177
840, 0.0075, 0.0169
860, 0.0075, 0.0194
880, 0.0075, 0.0180
900, 0.0063, 0.0163
920, 0.0065, 0.0160
940, 0.0065, 0.0163
960, 0.0065, 0.0178
980, 0.0063, 0.0165
1000, 0.0077, 0.0160
1020, 0.0069, 0.0153
1040, 0.0064, 0.0154
1060, 0.0074, 0.0165
1080, 0.0059, 0.0147
1100, 0.0062, 0.0151
1120, 0.0061, 0.0143
1140, 0.0058, 0.0147
1160, 0.0064, 0.0170
1180, 0.0071, 0.0159
1200, 0.0065, 0.0135
1220, 0.0073, 0.0168
1240, 0.0067, 0.0160
1260, 0.0080, 0.0149
1280, 0.0068, 0.0150
1300, 0.0053, 0.0165
1320, 0.0062, 0.0138
1340, 0.0058, 0.0160
1360, 0.0063, 0.0143
1380, 0.0058, 0.0142
1400, 0.0057, 0.0148
1420, 0.0060, 0.0157
1440, 0.0056, 0.0157
1460, 0.0058, 0.0159
1480, 0.0048, 0.0167
1500, 0.0053, 0.0163
1520, 0.0055, 0.0165
1540, 0.0047, 0.0160
1560, 0.0059, 0.0160
1580, 0.0061, 0.0164
1600, 0.0053, 0.0167
1620, 0.0062, 0.0164
1640, 0.0059, 0.0179
1660, 0.0054, 0.0171
1680, 0.0055, 0.0165
1700, 0.0054, 0.0174
1720, 0.0054, 0.0173
1740, 0.0051, 0.0183
1760, 0.0048, 0.0175
1780, 0.0053, 0.0171
1800, 0.0050, 0.0175
1820, 0.0052, 0.0167
1840, 0.0048, 0.0169
1860, 0.0048, 0.0168
1880, 0.0054, 0.0179
1900, 0.0041, 0.0173
1920, 0.0052, 0.0187
1940, 0.0046, 0.0174
1960, 0.0052, 0.0177
1980, 0.0050, 0.0173
2000, 0.0049, 0.0170
