Epoch, train Loss, test loss
1, 1.1888, 1.2620
20, 0.4200, 0.1742
40, 0.1264, 0.0757
60, 0.0571, 0.0400
80, 0.0420, 0.0353
100, 0.0375, 0.0281
120, 0.0269, 0.0246
140, 0.0242, 0.0220
160, 0.0227, 0.0201
180, 0.0197, 0.0189
200, 0.0178, 0.0179
220, 0.0189, 0.0173
240, 0.0176, 0.0172
260, 0.0186, 0.0165
280, 0.0171, 0.0163
300, 0.0174, 0.0155
320, 0.0163, 0.0159
340, 0.0160, 0.0149
360, 0.0149, 0.0146
380, 0.0152, 0.0144
400, 0.0144, 0.0140
420, 0.0139, 0.0138
440, 0.0158, 0.0136
460, 0.0137, 0.0134
480, 0.0137, 0.0130
500, 0.0151, 0.0127
520, 0.0135, 0.0125
540, 0.0133, 0.0123
560, 0.0129, 0.0121
580, 0.0121, 0.0120
600, 0.0130, 0.0117
620, 0.0143, 0.0117
640, 0.0134, 0.0112
660, 0.0116, 0.0109
680, 0.0120, 0.0108
700, 0.0119, 0.0107
720, 0.0123, 0.0108
740, 0.0109, 0.0105
760, 0.0117, 0.0104
780, 0.0109, 0.0106
800, 0.0114, 0.0102
820, 0.0122, 0.0101
840, 0.0117, 0.0101
860, 0.0118, 0.0099
880, 0.0109, 0.0099
900, 0.0111, 0.0100
920, 0.0103, 0.0099
940, 0.0106, 0.0100
960, 0.0106, 0.0098
980, 0.0112, 0.0096
1000, 0.0114, 0.0094
1020, 0.0113, 0.0095
1040, 0.0097, 0.0095
1060, 0.0114, 0.0095
1080, 0.0108, 0.0093
1100, 0.0103, 0.0092
1120, 0.0102, 0.0095
1140, 0.0103, 0.0092
1160, 0.0112, 0.0092
1180, 0.0110, 0.0092
1200, 0.0117, 0.0093
1220, 0.0104, 0.0090
1240, 0.0100, 0.0089
1260, 0.0113, 0.0090
1280, 0.0107, 0.0088
1300, 0.0112, 0.0090
1320, 0.0100, 0.0090
1340, 0.0096, 0.0089
1360, 0.0100, 0.0088
1380, 0.0104, 0.0089
1400, 0.0110, 0.0095
1420, 0.0106, 0.0089
1440, 0.0097, 0.0090
1460, 0.0115, 0.0087
1480, 0.0099, 0.0087
1500, 0.0112, 0.0087
1520, 0.0098, 0.0087
1540, 0.0099, 0.0087
1560, 0.0097, 0.0087
1580, 0.0095, 0.0086
1600, 0.0114, 0.0087
1620, 0.0096, 0.0087
1640, 0.0095, 0.0088
1660, 0.0111, 0.0085
1680, 0.0098, 0.0085
1700, 0.0095, 0.0085
1720, 0.0089, 0.0085
1740, 0.0101, 0.0085
1760, 0.0106, 0.0085
1780, 0.0101, 0.0085
1800, 0.0096, 0.0086
1820, 0.0115, 0.0084
1840, 0.0101, 0.0084
1860, 0.0101, 0.0084
1880, 0.0093, 0.0084
1900, 0.0108, 0.0087
1920, 0.0101, 0.0084
1940, 0.0094, 0.0083
1960, 0.0109, 0.0083
1980, 0.0111, 0.0083
2000, 0.0104, 0.0083
