Epoch, train Loss, test loss
1, 0.9763, 1.1447
20, 0.3180, 0.1233
40, 0.0772, 0.0478
60, 0.0569, 0.0348
80, 0.0500, 0.0326
100, 0.0522, 0.0332
120, 0.0488, 0.0321
140, 0.0476, 0.0340
160, 0.0467, 0.0327
180, 0.0442, 0.0319
200, 0.0421, 0.0337
220, 0.0414, 0.0333
240, 0.0372, 0.0333
260, 0.0358, 0.0326
280, 0.0317, 0.0327
300, 0.0314, 0.0323
320, 0.0304, 0.0327
340, 0.0289, 0.0315
360, 0.0256, 0.0311
380, 0.0247, 0.0338
400, 0.0223, 0.0334
420, 0.0208, 0.0348
440, 0.0217, 0.0339
460, 0.0200, 0.0335
480, 0.0185, 0.0343
500, 0.0173, 0.0354
520, 0.0161, 0.0321
540, 0.0148, 0.0321
560, 0.0137, 0.0312
580, 0.0136, 0.0324
600, 0.0124, 0.0318
620, 0.0122, 0.0314
640, 0.0117, 0.0297
660, 0.0112, 0.0300
680, 0.0107, 0.0312
700, 0.0106, 0.0292
720, 0.0103, 0.0291
740, 0.0097, 0.0285
760, 0.0093, 0.0282
780, 0.0085, 0.0272
800, 0.0093, 0.0269
820, 0.0090, 0.0262
840, 0.0079, 0.0266
860, 0.0089, 0.0267
880, 0.0085, 0.0267
900, 0.0089, 0.0259
920, 0.0083, 0.0266
940, 0.0077, 0.0276
960, 0.0081, 0.0256
980, 0.0083, 0.0250
1000, 0.0087, 0.0287
1020, 0.0084, 0.0252
1040, 0.0075, 0.0276
1060, 0.0084, 0.0281
1080, 0.0081, 0.0267
1100, 0.0078, 0.0275
1120, 0.0084, 0.0242
1140, 0.0078, 0.0243
1160, 0.0076, 0.0256
1180, 0.0078, 0.0243
1200, 0.0072, 0.0251
1220, 0.0076, 0.0236
1240, 0.0072, 0.0261
1260, 0.0075, 0.0265
1280, 0.0077, 0.0281
1300, 0.0079, 0.0223
1320, 0.0072, 0.0267
1340, 0.0071, 0.0251
1360, 0.0073, 0.0248
1380, 0.0069, 0.0246
1400, 0.0075, 0.0274
1420, 0.0071, 0.0259
1440, 0.0075, 0.0266
1460, 0.0072, 0.0250
1480, 0.0072, 0.0281
1500, 0.0074, 0.0280
1520, 0.0068, 0.0271
1540, 0.0071, 0.0273
1560, 0.0070, 0.0277
1580, 0.0069, 0.0245
1600, 0.0073, 0.0288
1620, 0.0070, 0.0270
1640, 0.0064, 0.0275
1660, 0.0073, 0.0281
1680, 0.0066, 0.0275
1700, 0.0064, 0.0266
1720, 0.0064, 0.0281
1740, 0.0065, 0.0278
1760, 0.0064, 0.0298
1780, 0.0070, 0.0283
1800, 0.0069, 0.0291
1820, 0.0071, 0.0282
1840, 0.0074, 0.0274
1860, 0.0067, 0.0293
1880, 0.0066, 0.0285
1900, 0.0068, 0.0286
1920, 0.0067, 0.0293
1940, 0.0069, 0.0317
1960, 0.0065, 0.0301
1980, 0.0068, 0.0288
2000, 0.0072, 0.0290
